code,name,sector,price,rate,volume,market,link
G0004,푸른소프트,IT서비스,66014,-0.85,532344,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0004
G0005,샛별소프트,IT서비스,50360,-0.3,396891,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0005
G0008,아람데이터,IT서비스,60224,1.72,604060,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0008
G0015,해솔아이티,IT서비스,13158,1.24,750448,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0015
G0023,청람데이터,IT서비스,114386,3.58,272697,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0023
G0032,벼리클라우드,IT서비스,30355,0.38,112029,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0032
G0035,자강소프트,IT서비스,22329,0.67,278813,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0035
G0042,해원시스템즈,IT서비스,111271,2.57,276557,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0042
G0046,넥스트데이터,IT서비스,28509,0.05,260287,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0046
G0050,미소소프트,IT서비스,25807,1.87,133888,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0050
G0058,명주데이터,IT서비스,14082,1.9,20625,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0058
G0078,단비네트웍스,IT서비스,8284,2.74,234809,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0078
G0098,새벽시스템즈,IT서비스,29206,-2.84,943755,GX-MAIN,https://kh-lab.rockua.ai.kr/stocks/G0098
G0118,명주네트웍스,IT서비스,7295,2.24,540012,GX-GROWTH,https://kh-lab.rockua.ai.kr/stocks/G0118
